fp_id,address,index,new_index,name,schedule,phone,branch_id,latitude,longitude,type,credit_point,punkt_currency,status,status_desc,schedule_detail
118,"Костанайская  область, Денисовский район, с. Жалтырколь, ул. Мира, д. 2 ",110507,P28A4D5,СОПС с.Жалтырколь,"понедельник-пятница 10:00-14:00, без перерывов. Суббота, воскресенье - выходные",8(71434)25794,,52.832911,61.819072,dep,0,0,1,,
120,"Костанайская область, Денисовский район, с. Фрунзе, ул. Комсомольская, д. 43 ",110518,P28D2Y8,СОПС с.Фрунзенское,"понедельник-пятница 10:00-14:00, без перерывов. Суббота, воскресенье - выходные",8(71434)95566,,52.613589,61.892759,dep,0,0,1,,
122,"Костанайская область, Денисовский район, с. Приреченка, ул. Ленина, д. 2 ",110515,,СОПС с.Приреченка,"понедельник-пятница 10:00-14:00, без перерывов. Суббота, воскресенье - выходные",8(71434)24701,,52.644131,61.289571,dep,0,0,1,,
123,"Костанайская область, Денисовский район, с. Покровка, ул. Мира, д. 4 ",110514,,ППС с.Покровка,"Понед, вторник, четверг 10:00-12:00, Среда,Пятница, Суббота, Воскресенье-Выходной",,,52.277327,62.294887,dep,0,0,1,,
128,"Костанайская область, Денисовский район, с. Заятский, ул. Дорожная, д. 31 ",110508,,ППС с.Зааятский,"Будни с 10:00-12:00 , Суббота, Воскресенье-Выходной",8(71453)96251,,52.889518,61.574306,dep,0,0,1,,
129,"Костанайская  область, Денисовский район, с. Глебовка, ул. Центральная, д. 12 ",110504,,ППС с.Глебовка,"понедельник-пятница 10:00-12:00, без перерывов. Суббота, воскресенье - выходные",8(71453)94322,,52.760664,61.276621,dep,0,0,1,,
132,"Костанайская область, Денисовский район, с. Аршалы, ул. Целинная, д. 35 А ",110502,,СОПС с.Аршалы,"Будни 10:00-14:00,  Суббота, Воскресенье-Выходной",8(71453)25194,,52.723282,61.147887,dep,0,0,1,,
134,"Костанайская область, Денисовский район, с. Денисовка, ул. Калинина, д. 4 ",110500,,ЦОУ Денисовского РУПС,"Будни 09:00-18:00, Суббота 09:00-14:00, без перерыва, Воскресенье-Выходной",8(71453)21269,,52.441878,61.741056,dep,1,1,1,,
135,"Костанайская  область, Джангельдинский район, с. Сага, ул. б/у, д. 2 ",110601,,СОПС с.Сага,"Понедельник, Вторник, Четверг, Пятница 10:00-12:00, без перерывов. Среда, Суббота, Воскресенье-Выходной",8(71439)30361,,50.475815,64.261264,dep,0,0,1,,
138,"Костанайская  область, Джангельдинский район, с. Аралбай, ул. б/у, д. б/н ",110602,,ППС с.Аралбай,"Понедельник, Вторник, Среда, Пятница 10:00-12:00,без перерывов. Четверг, Суббота, Воскресенье-Выходной",8(71439)26021,,49.771981,64.010329,dep,0,0,1,,
139,"Костанайская  область, Джангельдинский район, с. Милисай, ул. б/у, д. б/н ",110603,,ППС с.Милысай,"Понедельник, Вторник, Четверг, Пятница 10:00-12:00, без перерывов. Среда, Суббота, Воскресенье-Выходной",8(71439)20741,,49.683627,63.587116,dep,0,0,1,,
140,"Костанайская область, Джангельдинский район, с. Акшыганак, ул. Тауелсиздик, д. 6 ",110604,,СОПС с.Акшиганак,"Понедельник, Вторник, Среда, Пятница 10:00-12:00, без перерывов. Четверг, Суббота, Воскресенье-Выходной",8(71439)25333,,49.29042,62.71094,dep,0,0,1,,
141,"Костанайская область, Джангельдинский район, с. Тауыш, ул. б/у, д. 4 ",110605,,СОПС с.Тауыш,"Понедельник, Вторник, Четверг, Пятница 10:00-12:00, без перерывов. Среда, Суббота, Воскресенье-Выходной",8(71439)26510,,52.801928,61.403276,dep,0,0,1,,
142,"Костанайская область, Житикаринский район, г. Житикара, мкр. 2 мкрн, д. 2 ",110701,P34A1F3,ГОПС-1 г.Житикара,"Будни 09:00-18:00 Перерыв 12:00-13:00, Суббота, Воскресенье-Выходной",8(71435)22733,,52.191008,61.197315,dep,1,0,1,,
144,"Костанайская область, Житикаринский район, с. Забеловка, ул. Левонабережная, д. 50 ",110705,P34G2P0,СОПС с.Забеловка,"Понедельник, втрник, среда с 09:00-13:00,  Четверг, пятница с 09:00-12:00, Суббота, Воскресенье-Выходной",8(71435)92564,,52.286041,61.328038,dep,1,0,1,,
146,"Костанайская область, Житикаринский район, с. Пригородное, ул. Бейбітшілік (П.Морозова), д. 11 ",110709,,СОПС с.Пригородный,"Понедельник, среда с 10:00-12:00, Вторник, четверг, пятница с  10:00-13:00, Суббота, Воскресенье-Выходной",8(71435)73331(акимат),,52.211303,61.305889,dep,1,0,1,,
147,"Костанайская  область, Житикаринский район, с. Степное, ул. Минская, д. 1 ",110711,P34G9F4,СОПС с.Степное,"Понедельник, втрник,среда с 10:00-13:00,Четверг, пятница с 10:00-12:00, Суббота, Воскресенье-Выходной",8(71435)90396,,51.747725,61.360518,dep,0,0,1,,
148,"Костанайская область, Житикаринский район, с. Чайковский, ул. Клубная, д. 13",110716,,СОПС с.Чайковский,"Будни с 10:00-12:00, Суббота, Воскресенье-Выходной",8(71435)98342,,51.748325,61.357407,dep,0,0,1,,
150,"Костанайская область, Житикаринский район, г. Житикара, мкр. 6 мкрн, д. 11 ",110702,P34A5H6,ГОПС-2 г.Житикара,"Будни 09:00-18:00 Перерыв 13:00-14:00, Суббота, Воскресенье-Выходной",8(71435)28186,,52.182517,61.183915,dep,1,0,1,,
152,"Костанайская область, Камыстинский район, с. Адаевка, ул. б/у, д. б/н ",110801,,ППС с.Адаевка,"вторник, пятница 9:00-14:00, среда 9:00-12:00, без перерывов, понедельник, четверг, суббота, воскресенье - выходные",,,51.802216,62.032281,dep,0,0,1,,
154,"Костанайская область, Камыстинский район, с. Дружба, ул. Школьная, д. 1",110705,P37A6D0,ППС с.Дружба,"Понедельнтк,Среда, Пятница 13:00-15:30, Вторник, Четверг, Суббота, Воскресенье-Выходной",8(71437)28661,,51.446823,62.906628,dep,0,0,1,,
155,"Костанайская область, Камыстинский район, с. Фрунзе, ул. б/у, д. б/н ",110816,,ППС с.Фрунзе,"Понедельник, Среда, Четверг 13:00-15:00, Вторник, Пятница, Суббота, Воскресенье-Выходной",8(71437)29865,,51.708501,61.594026,dep,0,0,1,,
160,"Костанайская область, Камыстинский район, с. Бестобе, ул. б/у, д. 15",110804,,СОПС с.Бестобе,"вторник, пятница 9:00-14:00, среда 9:00-12:00, без перерывов. Понедельник, четверг, суббота, воскресенье - выходные.",8(71437)27143,,51.907555,62.031329,dep,0,0,1,,
161,"Костанайская  область, Камыстинский район, с. Алтынсарино, ул. Школьная, д. 7 ",110802,P46T8K3,СОПС с.Алтынсарино,"вторник, пятница 9:00-14:00, среда 9:00-12:00, без перерывов, понедельник, четверг, суббота, воскресенье - выходные.",8(71437)27322,,51.739318,62.345374,dep,0,0,1,,
163,"Костанайская  область, Карасуский район, с. Айдарлы, ул. б/у, д. 4 ",111001,,СОПС с.Айдарлинское,"Вторник, Четверг, Пятница 10:00-14:00, без перерывов. Понедельник, Среда,Суббота, Воскресенье-Выходной",8(71448)28347,,52.184655,65.268577,dep,0,0,1,,
164,"Костанайская  область, Карасуский район, с. Амангельды, ул. б/у, д. 4 ",111002,,СОПС с.Амангельды,"Понедельник, Среда, Пятница 10:00-14:00, без перерывов. Вторник, Четверг, Суббота, Воскресенье-Выходной",8(71452)27784,,52.3592,65.04862,dep,0,0,1,,
165,"Костанайская область, Карасуский район, с. Восток, ул. Коминтерна, д. 15 ",111004,P43C2X2,СОПС с.Восток,"Понедельник, Среда, Пятница 10:00-14:00, без перерывов. Вторник, Четверг, Суббота, Воскресенье-Выходной",8(714) 529-3486,,52.667473,65.514657,dep,0,0,1,,
166,"Костанайская область, Карасуский район, с. Комсомольское, ул. Ленинская, д. б/н ",111008,,ППС с.Комсомольское,"Вторник, Четверг, пятница 11:00-13:00, без перерывов. Понедельник, Среда, Суббота, Воскресенье-Выходной",8(71452)95381,,52.910067,65.36958,dep,0,0,1,,
168,"Костанайская область, Карасуский район, с. Павловское, ул. Юбилейная, д. 1 ",111016,,ППС с.Павловский,"Понедельник, Среда, Пятница 10:00-14:00, без перерывов. Вторник, Четверг, Суббота, Воскресенье-Выходной",8(71452)95626,,53.006561,65.967578,dep,0,0,1,,
169,"Костанайская область, Карасуский район, с. Новоселовка, ул. Ленина, д. 10 ",111014,,ППС с.Новоселовка,"Вторник, Четверг, пятница 11:00-13:00, без перерывов. Понедельник, Среда,  Суббота, Воскресенье -Выходной",8(71452)95381,,52.788071,65.18177,dep,0,0,1,,
170,"Костанайская область, Карасуский район, с. Новопавловка, ул. Центральная, д. б/н ",111013,,СОПС с.Новопавловка,"Вторник, Четверг, пятница 10:00-14:00 Перерыв с 13:00-14:00. Понедельник, Среда, Суббота, Воскресенье-Выходной",8(71452)99001,,52.557215,64.861708,dep,0,0,1,,
171,"Костанайская область, Карасуский район, с. Люблинка, ул. Октябрьская, д. 39 ",111011,,СОПС с.Люблинка,"Понедельник, Среда, Пятница 10:00-14:00, без перерывов. Вторник, Четверг, Суббота, Воскресенье-Выходной",8(71452)96324,,52.466725,65.363626,dep,0,0,1,,
173,"Костанайская область, Карасуский район, с. Ленино, ул. Придорожная, д. б/н ",111010,P43F0H4 ,СОПС с.Ленино,"Будни 11:00-13:00, Суббота, Воскресенье-Выходной",8(71452)95821,,52.523709,65.425585,dep,0,0,1,,
174,"Костанайская область, Карасуский район, с. Челгаши, ул. Привокзальная, д. 27А ",111021,P43E8A3,СОПС Челгаши,"понедельник-пятница 9:00-18:00,Перерыв 13:00-14:00. Суббота, Воскресенье -Выходной",8(71448)91034,,52.655816,65.482603,dep,0,0,1,,
175,"Костанайская область, Карасуский район, с. Целинный, ул. Ленина, д. б/н ",111020,,СОПС с.Целинный,"Среда, Пятница 11:00-15:00, Понедельник, Вторник, Четверг, Суббота, Воскресенье-Выходной",8(71448)98008,,52.39603,64.953928,dep,0,0,1,,
176,"Костанайская область, Карасуский район, с. Ушаково, ул. Ленина, д. б/н ",111019,,СОПС с.Ушаково,"Вторник, Четверг, пятница 10:00-14:00 без Перерыва. Понедельник, Среда, Суббота, Воскресенье-Выходной",8(71448)95418,,51.490143,65.232192,dep,1,0,1,,
177,"Костанайская область, Карасуский район, с. Теректы, ул. Ленинская, д. б/н ",111018,,ППС с.Теректы,"Вторник,четверг, Пятница 10:00-13:00, без перерывов. Понедельник, Среда, Суббота, Воскресенье - Выходной",8(71452)92379,,51.862994,65.192961,dep,0,0,1,,
178,"Костанайская область, Карасуский район, с. Койбагор, ул. Клубная, д. 1 ",111007,,СОПС с.Койбагор,"понедельник-пятница 09:00-18:00, перерыв 13:00-14:00. Суббота, Воскресенье-Выходной",8(71452)99398,,52.295375,65.025691,dep,1,0,1,,
179,"Костанайская область, Карасуский район, с. Карамырза, ул. Центральная, д. б/н ",110006,,СОПС с.Карамырза,"Понедельник, Среда, Пятница 10:00-17:00. Перерыв среда, пятница 13:00-14:00. Вторник, Четверг, Суббота, Воскресенье-Выходной",,,52.547502,65.819615,dep,0,0,1,,
180,"Карагандинская область, г. Шахтинск, ул. ул.Виктора Хара, д. 7",101601,M31D9G3,ГОПС Шахтинск-1,"Будни 10:00-18:00, Перерыв 13:00-14:00, Суббота, Воскресенье-Выходной",8(721) 565-2303,,49.709929,72.585782,dep,1,0,1,,
181,"Актюбинская область, Айтекебийский район, с. Комсомольское, ул. Жургенева, д. 70",030100,D10C8C5,ЦОУ Айтекебийского РУПС (Комсомольский),"Будни 09:00-18:00, Суббота 09:00-14:00, Воскресенье-Выходной",8(7133)921238,470,50.433156,60.506125,dep,1,1,1,,"{'mon_begin': '09:00', 'mon_end': '18:00', 'tue_begin': '09:00', 'tue_end': '18:00', 'wed_begin': '09:00', 'wed_end': '18:00', 'thu_begin': '09:00', 'thu_end': '18:00', 'fri_begin': '09:00', 'fri_end': '18:00', 'sat_begin': '09:00', 'sat_end': '14:00', 'sun_begin': '', 'sun_end': ''}"
182,"Актюбинская область, Алгинский район, с. Бестамак, ул. Богенбай батыра, д. 46А ",030202,D13D5M8,СОПС с.Бестамак,"Понедельник-пятница 09-00 до 17-00, обед 13-00 до 14-00, суббота 09-00 до 14-00, воскресенье-выходной",8(71337)35353,,50.046522,57.351243,dep,1,0,1,,
183,"Акмолинская область, Аккольский район, с. Новорыбинка, ул. Кусаинова, д. 10 ",020108,C13E7X5,СОПС с.Новорыбинка,"Будни 09:00-13:00, Суббота, Воскресенье-Выходной",8(71638)53094,,51.850483,71.248245,dep,0,0,1,,
185,"Акмолинская  область, Аккольский район, с. Наумовка, ул. Акбидай, д. 33 ",020107,C13E4M1,СОПС с.Наумовка,"Будни 09:00-13:00, Суббота, Воскресенье-Выходной",8(71638)30232,,52.13088,70.353586,dep,0,0,1,,
186,"Костанайская область, Узынкольский район, с. Ершовка, ул. Ленина, д. 4 ",111804,,СОПС с.Ершовка,"Будни 09:00-13:00, Суббота, Воскресенье-Выходной",8(71444)34342,,54.049029,65.074214,dep,0,0,1,,
188,"Акмолинская  область, Аккольский район, с. Азат, ул. Бейбитшилик, д. 1 ",020103,C13D8M9,СОПС с.Азат,"Будни 09:00-13:00, Суббота, Воскресенье-Выходной",8(71638)35117,,52.098357,71.52895,dep,0,0,1,,
189,"Костанайская область, Узынкольский район, с. Миролюбовка, ул. Целинная, д. 25 ",111806,,СОПС с.Миролюбовка,"погнедельник-пятница 09:00-11:00, без перерывов. Суббота, Воскресенье-Выходной",8(71444)35591,,53.981174,65.021179,dep,0,0,1,,
191,"Костанайская область, Узынкольский район, с. Федоровка, ул. Центральная, д. 17 ",111815,,СОПС с.Федоровка,"ПН-ПТ 09:00-13:00, Суббота, Воскресенье-Выходной",8(71444)93286,,53.635682,62.703126,dep,0,0,1,,
192,"Костанайская область, Узынкольский район, с. Троебратное, ул. Чапаева, д. 16 ",111814,,СОПС с.Троебратский,"понедельник-пятница 12:00-16:00, без перерывов. Суббота, Воскресенье-Выходной",8(71444)99294,,54.446661,66.078765,dep,1,0,1,,
193,"Костанайская область, Узынкольский район, с. Тайсойган, ул. Мусрепова, д. 19/1 ",111813,,СОПС с.Тайсойган,"понедельник-пятница 13:00-15:00, без перерывов. Суббота, Воскресенье-Выходной",8(714) 443-6229,,54.306799,64.983464,dep,0,0,1,,
194,"Костанайская область, Узынкольский район, с. Суворово, ул. б/у, д. б/н ",111812,,ППС с.Суворово,"понедельник-пятница 10:00-12:00, без перерывов. Суббота, Воскресенье-Выходной",8(71444)36182,,54.308596,65.881509,dep,0,0,1,,
195,"Костанайская область, Узынкольский район, с. Сокол, ул. Школьная, д. 18 ",111811,,СОПС с.Сокол,"понедельник-пятница 11:00-13:00, без перерывов. Суббота, Воскресенье-Выходной",8(71444)34245,,54.378246,65.521157,dep,0,0,1,,
196,"Костанайская область, Узынкольский район, с. Ряжское, ул. 60 лет октября, д. 11 ",111810,,ППС с.Ряжское,"понедельник-пятница 10:00-12:00, без перерывов. Суббота, Воскресенье-Выходной",8(71444)35472,,54.063285,65.55539,dep,0,0,1,,
198,"Костанайская область, Узынкольский район, с. Новопокровка, ул. Школьная, д. 22 ",111807,,СОПС с.Новопокровка,"Будни 09:00-13:00, Суббота, Воскресенье-Выходной",8(714) 449-5252,,53.802688,65.315944,dep,0,0,1,,
199,"Акмолинская область, Аккольский район, с. Акколь, ул. Кирдищева, д. 88 ",020113,C13B9T7,ГОПС-13 с.Акколь,"Будни 09:00-13:00, Суббота, Воскресенье-Выходной",,,52.000542,70.942648,dep,0,0,1,,
200,"Костанайская область, Узынкольский район, с. Кировское, ул. Аль-Фараби, д. 4 ",111805,,ППС с.Кировское,"Будни 11:00-13:00, Суббота, Воскресенье-Выходной",8(71444)34769,,54.168777,65.469355,dep,0,0,1,,
202,"Костанайская  область, Узынкольский район, с. Варваровка, ул. б/у, д. б/н ",111803,,ППС с.Варваровка,"понедельник-пятница 10:00-12:00, без перерывов. Суббота, воскресенье - выходные",8(71444)34908,,53.771352,65.187619,dep,0,0,1,,
203,"Костанайская область, Узынкольский район, с. Белоглинка, ул. Садовая, д. 16, кв 1 ",111802,,ППС с.Белоглинка,"понедельник-пятница 10:00-12:00, без перерывов. Суббота, воскресенье - выходные",8(71444)35823,,54.613605,65.863564,dep,0,0,1,,
205,"Акмолинская  область, Аккольский район, с. Акколь, ул. Нурмагамбетова, д. 116 ",020100,C13C9F5,ПОПС с.Акколь,"Будни 09:00-16:00 Перерыв 13:00-14:00, Суббота, Воскресенье-Выходной",,,51.996096,70.949421,dep,0,0,1,,
206,"Костанайская область, Тарановский район, с. Максут, ул. б/у, д. б/н ",111706,,ППС с.Максут,"вторник, четверг 10:00-14:00, среда 11:00-13:00 без перерыва. Понедельник, пятница, суббота, воскресенье - выходные.",8(71436)35259,,52.167402,62.999885,dep,0,0,1,,
207,"Костанайская область, Тарановский район, с. Набережное, ул. 50 лет Октября, д. 13",111708,P58C6E9,СОПС с.Набережное,"понедельник, среда 9:00-16:00, без перерыва. Пятница 9:00-15:00, без перерыва. Вторник, четверг, суббота вокресенье - выходные.",8(71436)29674,,52.862727,62.802509,dep,0,0,1,,
208,"Костанайская  область, Тарановский район, с. Юбилейное, ул. Юбилейная, д. 3 ",111716,P58B3E2,ППС с.Юбилейное,"понедельник, среда 9:00-16:00, пятница 9:00-15:00, без перерыва. Вторник, четверг, суббота, воскресенье - выходные.",8(71436)24890,,52.938521,63.048277,dep,0,0,1,,
209,"Карагандинская область, Бухар-Жырауский район, с. Новодолинский, ул. Центральная, д. 1А ",101605,M31C7K5,СОПС Новодолинский,"Будни 09:00-18:00, Суббота 09:00-14:00, Воскресенье-Выходной",8(72156)59034,,49.708493,72.71216,dep,1,0,1,,
210,"Костанайская область, Тарановский район, с. Тобол, ул. Станционная, д. 1 ",111715,P58A5Y1,СОПС с.Тобол,"Будни 09:00-18:00, Суббота, Воскресенье-Выходной",8(71436)21362,,52.696997,62.574742,dep,1,0,1,,
212,"Костанайская область, Тарановский район, с. Аксуатск, ул. Центральная, д. 1 ",111712,,СОПС с.Притобольский,"Понедельник 11:00-13:00, среда, пятница 10:00-13:00, без перерыва. вторник, четверг, суббота, воскресенье - выходные",,,52.630405,62.773048,dep,0,0,1,,
